"id","username","name","follower_count","following_count","score","is_premium","is_pro"
"7116","Lirani","Lirani","2057","1949","937","False","False"
"6236","TheRealD","Deplorable Dan (Plz)","1176","483","189","False","False"
"5602","pete","Pete 🌐","1800","410","1778","False","False"
"978","just2groovy","just2groovy","3589","3788","2306","False","False"
"1229","HillaryKlanton","Crooked Hillary Klanton","607","40","62","False","False"
"1274","Tathmairk","Mark Supinski","1501","370","1018","False","True"
"1011","NorthJersey908","NorthJersey908 T_D🐸","4152","3284","7364","False","False"
"1056","Nightmare_Fuel","Go Back To Sleep","796","398","464","False","False"
"1174","space_insomnia","Kek","422","14","54","False","False"
"789","Hot_Ham_H20","El-diablo loco","769","37","5","False","False"
"1840","Noah","Noah Pinto","1461","386","500","False","True"
"1899","ALX","ALX ","2105","340","1037","False","False"
"976","BJ","Ben Jaeger","556","39","17","False","False"
"984","cromwell","Mark Cromwell","1075","1010","108","False","False"
"1110","Legend","Legend","796","208","66","False","False"
"1154","ARoltner88","Alex G Roltner","1649","399","570","False","False"
"977","parmesan","parm","635","25","188","False","False"
"1018","Kolty","Kolty Boy","782","87","113","False","False"
"1326","Christian","Χρισ","1800","660","2440","False","False"
"904","Raylan","Raylan West","796","428","67","False","False"
"1578","be","Bruce Ericsson","1956","578","1244","False","False"
"2033","ColeTrain","Cole Train","1007","178","200","False","False"
"1692","LordChristian","Christian","376","28","73","False","False"
"951","Adrian","Adrian Esquivia","712","108","58","False","False"
"1672","JohnD271","John","568","37","12","False","False"
"1213","Daww","Jennifer D'aww","2498","289","2591","False","False"
"881","Reinhardt","Deplorable Reinhardt","1745","307","2021","False","False"
"1434","Fredy","Fredy","1135","89","1888","False","False"
"1727","CA","Christian Chance","571","12","86","False","False"
"1295","sandraopines","Sandra Opines 4 Trump","649","449","104","False","False"
"1739","nb","Nick","1207","242","305","False","False"
"827","mf","Flynn","3958","2393","10302","False","True"
"1636","ACRedwine","A.C. Redwine","3710","2599","4438","False","False"
"1209","Richard","Richard Simones","693","31","1228","False","False"
"929","Lenore","Lenore","1843","581","586","False","False"
"795","taylor","t","2986","1518","-26","False","False"
"1989","AKAR1547","Jeremy ","724","274","73","False","False"
"1309","sashashepto","Sasha","3770","1387","14212","False","False"
"1848","daph","DaphDaph","1278","260","1112","False","False"
"1958","Nicholas","Nick Brasili","884","522","72","False","False"
"1290","ForgottenCitizen","Forgotten ","1225","793","82","False","False"
"1298","MA","MA","702","95","554","False","False"
"2069","Clone","Clone","1633","951","735","False","False"
"987","CountBurger","Basic Burger","658","86","70","False","False"
"1923","Mario","Mario","1193","747","100","False","False"
"1428","BasedCentipede","John Stutsman","587","134","34","False","False"
"2627","Me2","Me2","2615","1116","2319","False","False"
"3003","OHB","Oliver Hopkins-Burke","1345","406","1030","False","False"
"1614","Marie","Marie","184","2","0","False","False"
"777","PrisonPlanet","PrisonPlanet","70970","110","276482","False","False"
"2368","Paul","Paul Dalton","681","139","53","False","False"
"1843","Zhanx","Me","3063","1865","3823","False","False"
"3421","LtsChase","Chase","1055","528","65","False","False"
"3870","Toine","Tony P Memer","627","147","34","False","False"
"3211","TwerkinMerkin","Merkin","1589","874","420","False","False"
"7355","TrumpTrain","Trump Train","2191","1598","25","False","False"
"2496","jim","jim","1380","1069","227","False","False"
"4015","RicEastman","Ric Eastman","7102","11621","1061","False","False"
"4546","ZeroCL","Zero CL ✅","7477","10497","19541","False","True"
"8493","Oats","Oats","749","424","21","False","False"
"6379","AresPanKratos","Ares Christou","3418","8605","44","False","False"
"9000","test","Test","3039","3806","956","False","False"
"6699","Spanishbride","Juana Atkins","6689","7352","12534","False","False"
"2595","DeadNotSleeping","𝙹𝚎𝚋𝚜   ✔️","26122","78683","16110","False","False"
"9416","willroos","Will Roos","19102","53448","3475","False","False"
"4987","Caro","🐲Caro🐉","8209","5405","52122","False","False"
"12126","ha",".","928","747","8","False","False"
"970","ali","Ali A","4164","10325","1933","False","False"
"708","DS","Daniel Sullivan","690","13","0","False","False"
"660","Justin","Justin","869","19","325","False","False"
"1186","Deplorable_Harambe","Deplorable Harambe","648","137","79","False","False"
"1035","Daniel","Deplorable Daniel ✔️","4539","58","17633","False","False"
"1369","Spencer","Spencer","317","17","27","False","False"
"1405","Bone","Steve","418","12","0","False","False"
"1418","Keaton","Keaton","399","41","33","False","False"
"1466","Sun","Cam","532","27","30","False","False"
"930","Dingus","Dingus","727","61","123","False","False"
"5118","PresidentTrump","PresidentTrump","1328","465","47","False","False"
"2008","Tiby","Deplorable Tobias","2002","1035","697","False","False"
"1973","JamalOmar","Jamal Omar","552","116","177","False","False"
"7783","TheTomHenryShow","The Tom Henry Show","1588","932","775","False","False"
"6607","objetdarth","Objet D'arth","1372","1090","135","False","False"
"1515","Pnacious-1","Pnacious","1691","2029","161","False","False"
"1484","RothbardianSlip","Rothbardian Slip","1111","207","725","False","False"
"1371","GenderStudies","Bicking Dimbos","1257","542","903","False","False"
"772","Kek","Godly","254","89","65","False","False"
"2060","6079_Smith_W","Winston_Smith","1602","1555","831","False","False"
"1587","MrLolRCopter","SpeedSloth","342","32","79","False","False"
"1551","realAndrewWitherspoon","Andrew Witherspoon","861","113","59","False","True"
"1262","FeildMarshallVonKrout","FeildMarshallVonKrout ","860","365","59","False","False"
"1607","Fedorable","Cleighton Robertson","2599","552","7862","True","True"
"919","MissMAGA","Deplorable Miss MAGA","1721","588","241","False","False"
"796","PowerExchange","Power Exchange","453","81","0","False","False"
"1412","Superman","SPEC. PROSECUTOR Will Logan","3964","1929","17115","False","False"
"1536","Seamusmcgoo","Sean Hoover","375","7","9","False","False"
"1508","DetroitCentipede","SaveTheWest","688","92","30","False","False"
"1042","Bitcoin","Bitcoin","1294","11","466","False","False"
"1554","thehunter","Hunter Hohn","521","95","154","False","False"
"1240","sTr","sTr","224","11","24","False","False"
"1854","Triteamr","James","238","5","24","False","False"
"1649","McG","Daniel McG ","614","53","135","False","False"
"1884","Saint","Simon Templar","2363","2293","2452","False","False"
"4673","odinfyre","alphaOmega","3037","1627","-128","False","False"
"3936","cupoftea","Kayla","1237","564","45","False","False"
"6657","StarWars","Star Wars","2138","1979","787","False","False"
"3736","Nironavro","Nironavro ","1614","637","1711","False","False"
"1916","BFD","Big Freedom Dude","576","29","38","False","False"
"1592","jason","Jason Hayes","1029","528","201","False","False"
"1786","mg","MG","405","13","7","False","False"
"2120","Sentinel","Sentinel","1209","138","1539","False","False"
"1237","Maher_the_Carpathian","Maher the Carpathian","1841","789","654","False","False"
"2221","mi",".mike","900","163","35","False","False"
"2153","Sal_Ritchie","Salvadore Ritchie","1693","533","2064","False","False"
